epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
167,972.614,0.83129,0.55154,1.05442,0.88739,0.74202,0.82095,0.50633,1.57854,1.00965,1.43983,0.000884272,0.000884272,0.000884272
168,978.478,0.79343,0.54479,1.04083,0.83866,0.71832,0.76359,0.48985,1.61697,1.09721,1.47173,0.000879557,0.000879557,0.000879557
169,984.266,0.8009,0.5436,1.05777,0.84717,0.75187,0.80605,0.49449,1.59475,1.02059,1.44622,0.000874842,0.000874842,0.000874842
170,990.072,0.79246,0.533,1.04285,0.82498,0.75295,0.82019,0.49851,1.59223,1.04601,1.4372,0.000870126,0.000870126,0.000870126
171,995.903,0.82109,0.56257,1.06711,0.87136,0.65722,0.75523,0.45036,1.63077,1.13324,1.4754,0.000865411,0.000865411,0.000865411
172,1001.8,0.83081,0.56779,1.06699,0.81392,0.67355,0.7673,0.48621,1.59831,1.03648,1.43408,0.000860696,0.000860696,0.000860696
173,1007.73,0.78219,0.52988,1.03125,0.84678,0.75714,0.8271,0.50949,1.60411,1.01537,1.46218,0.000855981,0.000855981,0.000855981
174,1013.48,0.81303,0.55897,1.05061,0.88463,0.70183,0.81261,0.51495,1.5711,0.93589,1.44316,0.000851265,0.000851265,0.000851265
175,1019.26,0.79443,0.5389,1.0409,0.85611,0.67819,0.80241,0.50087,1.62959,1.05337,1.48033,0.00084655,0.00084655,0.00084655
176,1025.01,0.80839,0.53661,1.04237,0.83539,0.67559,0.81782,0.50024,1.59969,1.07906,1.4744,0.000841835,0.000841835,0.000841835
177,1030.78,0.82553,0.5638,1.05861,0.74038,0.79566,0.83611,0.53396,1.59316,0.9352,1.44902,0.00083712,0.00083712,0.00083712
178,1036.58,0.81432,0.53539,1.0426,0.76878,0.74579,0.8078,0.51071,1.62162,0.98069,1.49231,0.000832405,0.000832405,0.000832405
179,1042.29,0.80992,0.538,1.05279,0.74981,0.74553,0.79272,0.47892,1.67384,1.03835,1.49321,0.000827689,0.000827689,0.000827689
180,1048.06,0.80932,0.55394,1.04828,0.80782,0.69634,0.78843,0.47736,1.65637,1.07209,1.48,0.000822974,0.000822974,0.000822974
181,1053.8,0.80106,0.52849,1.0347,0.85307,0.70181,0.79739,0.48526,1.68294,1.10155,1.53726,0.000818259,0.000818259,0.000818259
